bridge spider	# a large  often found on bridges and near water ().
break out	# en To escape, especially forcefully or defiantly.#: ''They '''broke out''' of prison in the middle of the night.''#: ''The brigade succeeded in '''breaking out''' of the pocket and reunited with friendly forces.''# en To bring out, use, or present.#: '''''Break out''' the bubbly and celebrate.''# en To separate from a bundle.#: '''''Break out''' the cables from the harness once they are inside the frame.''# en To take or force out by breaking.#: ''to '''break out''' a pane of glass''# en To begin suddenly; to emerge in a certain condition.#: ''He '''broke out''' in sweat.''#: ''He '''broke out''' in song.''# en To suddenly get pimples, especially on one's face.
birthdom	# The land of one's birth.# privilege|Privilege of birth; one's inheritance; birthright.#: 
bellyacher	# One who bellyaches; a complainer.
bull thistle	# spear thistle|Spear thistle.
bird table	# A construction with a tablelike surface, placed outdoors to supply food to birds.
btoa	# en The conversion of binary to ASCII
bell-bottomed	# A style of pants in which the end of each pantleg flares out dramatically from the knee downward, like the mouth of a bell.
Bodok seal	# A specialised washer that ensures a gas-tight seal between the cylinder yoke or regulator of an anaesthetic machine or any medical device requiring a gas supply, and a gas cylinder.
bDNA	# branched DNA - an assay that reveals the presence of DNA or RNA fragments (from hepatitis C) in the bloodstream
bandpassing	# The filtering out of all but a specific range (band) of frequency|frequencies
blues-rock	# en A musical genre combining elements of blues and rock and roll
bond issue	# en The offering of bonds for sale to investors.
bedswerver	# One who is unfaithful to the marriage vow.
biojector	# A type of gas-powered injector.Category:English genericized trademarks
bento	# A Japanese takeaway lunch served in a box, often with the food arranged into an elaborate design.
Bauhin's valve	# en ileocecal valveCategory:English eponyms
Blasian	# An individual of both black and Asian heritage.
bronchoesophagology	# en The study of (the diseases of) the bronchus|bronchi and the esophagus
buddha	# A human being who has become enlightened and therefore a divine being.# A statue or image of the Buddha.# en marijuana
basioccipital	# en Relating to the basiocciput
bioeconomic	# Relating to bioeconomics or a bioeconomy
binoscope	# A type of binary telescope or long-distance binoculars, typically used for amateur astronomy or artillery sighting.
buddhi	# en A transpersonal faculty of mind higher than the rational mind that might be translated as ‘intuitive intelligence’ or simply ‘higher mind’. It is ‘that which knows’, ie. able to discern truth from falsehood.
blitheless	# Without happiness or joy; unjoyful; sorrowful; sad.# pitiful|Pitiful; miserable; wretched.
bendability	# The quality or degree of being bendable.
benty	# Abounding in bents, or the stalks of coarse, stiff, withered grass.#: '''''benty''' fields''# Resembling bent.#: 
banefully	# In a baneful way.
birotunda	# A structure made of two adjoined rotundas.
bronchotome	# en An instrument for cutting into the bronchial tubes.
bafflingly	# In a baffling or puzzling manner.|passage=To define is to specify, to trace limits; and whatever this 'something' is, it seems at once '''bafflingly''' specific and yet '''bafflingly''' without limits.}}
Barrowism	# Support for  (c. 1550–1593), English Puritan and separatist.
brown box	# A device used in phreaking that allows the creation of a party line from two telephone lines.
bifacially	# With, or so as to have, two faces#: ''a '''bifacially''' flaked point''
Buriat	# Someone from Buryatia.# A Mongolic language spoken around Buryatia
broddle	# en To poke; to pierce.
brake fluid	# a special fluid for operating hydraulic brakes and clutches, which are linked by pipe to a master cylinder.
biconceptual	# Having or relating to two concepts.
bimestrial	# Occurring once every two month|months#: ''Since the dinner was '''bimestrial''', the next one was due soon.''
burton	# en An arrangement of blocks and pulleys, especially for tightening rigging on a ship.# en storage|Storage of cargo athwartships.
blebbability	# The ability to form blebs|passage=On the other hand a study in mesenchymal stem cells (MSC) demonstrates that stem cells have an inherently weak membrane-cortex adhesion, which increased '''blebbability''' thereby regulating cell migration and stiffness in comparison to differentiated cells.}}
basaltoid	# Formed like basalt; basaltiform.
bluesman	# a male blues musician
breeches part	# en A theatrical part for a girl wearing man|men's clothes.
Beijingese	# Pekingese, related to or from Beijing
bungaroosh	# A building material composed of  miscellaneous materials, such as broken bricks, cobblestones, pebbles, sand, and pieces of wood embedded in hydraulic lime, used primarily in the English seaside resort of Brighton.
biphase	# A method of transmitting binary data that avoids problems associated with long strings of ones or zeros.
blastomylonite	# en A form of mylonite that has extensive recrystallization of its constituent minerals
blind gut	# en The caecum of the intestines.
barber shop	# A business which offers haircuts to men as its primary service.
beerocracy	# Those who control or profit from the brewing of beer.
bipartisanship	# In the context of a two-party system, especially in the United States, cooperation between the competing political party|political parties; governing in a bipartisan manner.
bean counter	# en A person, such as an accountant or financial officer, who is concerned with quantification, especially to the exclusion of other matters.
biverbal	# Of or pertaining to two words# Of or pertaining to two verbs# punning
bury the lead	# en en To begin a story with details of secondary importance to the reader while postpone|postponing more essential points or facts.
bycoket	# en A type of ancient cap or headdress, worn by military men and also ornamentally by men and women, including by the kings of England. The upper part was in the form of a double crown.
bow shock	# en a shock wave formed by the bow of an object travelling at supersonic speed# en the region of the magnetosphere in which the solar wind slows from supersonic to subsonic# bow wave
bisexualness	# en bisexuality
bivoltine	# en Having two broods or generations in a year
bwthyn	# A small Welsh cottage.Category:English terms with vocalic WCategory:en:Buildings and structures
bentō	# a Japanese takeaway lunch served in a box
bindless	# en Not having the limitation of requiring textures to be bind|bound by the CPU to a particular slot in a fixed-size table before the GPU can use them.
brötchen	# bun, bread rollCategory:English terms spelled with Ö|brotchen
beat down	# (of the sun or rain) To strike with great force.#: ''We had to leave the beach because the sun was really '''beating down'''.''#: ''It was a ghastly morning, with the rain '''beating down''' in sheets.''# To haggle with someone to sell at a lower price.#: ''I managed to '''beat''' him '''down''' to half his original asking price.''# en To severely beat someone up.
barehandedly	# With one's bare hands; without any tool or weapon.
boxiness	# The condition of being boxy
bahareque	# Construction material similar to adobe, consisting of clay or mud reinforced with sticks or canes.|passage=Even though some participants think adobe houses are more beautiful and safe than '''bahareque''' constructions, others have chosen bricks and cement as alternatives to reinforce or extend their basic constructions.}}
biking jacket	# A thick jacket (usually made of leather) designed to be worn while riding a motorcycle.Category:en:Clothing
bananaless	# Without bananas.
biopharmaceutically	# In a biopharmaceutical manner
biosequestration	# storage and removal of carbon from the atmosphere by conversion of carbon dioxide into biomass, generally by photosynthetic plants or bacteria#: ''Increased plant growth resulted in greater '''biosequestration''' than predicted.''
booklegger	# An illicit publisher or distributor of banned publications.
bathylimnetic	# Living in the depths of a lake or marsh.
blackgrass	# en , a weed that harms wheat crops.# en , a salt marsh plant used for facing dikes.Category:en:Poeae tribe grassesCategory:en:Rushes
bath bomb	# A hard-packed mixture of chemicals which effervesces when wet, used to add scent and colour to bathwater.
bright young thing	# en One who is youthful, clever, eager, and high-spirited in manner and attractive in appearance.# en Any of a group of bohemian young aristocrats and socialites in 1920s London.
bimaculate	# Having two spots or similar marks
barong	# A cutting weapon similar to a cleaver, with a thick back and thin razor-like edge, used by the Moros of the Philippines.
